Matchup,Outcome,NetEff,OffEff,DefEff,NetRtg,ORtg,DRtg,Tempo,Luck,PPG,ORPG,DRPG,APG,SPG,BPG,TOV,AST/TO,OppPPG,OppORPG,OppDRPG,OppAPG,OppSPG,OppBPG,OppTOV,OppA/TO,PPGDiff,ORPGDiff,DRPGDiff,APGDiff,SPGDiff,BPGDiff,TOVDiff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA
Charleston/The Citadel,15,20.5,14.5,6,17.3,11.9,5.4,4.2,0.4,11.4,-5,-1,1,-0.9,0.1,-2,-0.1,-14.4,-0.4,1.7,-7.2,-1.8,-0.8,1.1,-0.5,-3,-5.4,0.7,-6.2,-2.7,-0.7,-0.9,3,11.4,1.9,3.5,-0.6,5.3,0,-1.4,2.5,3.9,4.6,0.1,0.9,-1.5,-0.6,2.1
Siena/Xavier,-25,-30.5,-17.6,-12.8,-26.8,-17.9,-8.9,-3,0.2,-14,6.2,-6.2,-12,-2.4,2.8,-4.8,-1.7,-10.8,-3.6,-2,0.2,-2.2,0.4,-0.2,0,-24.8,2.6,-8.2,-11.8,-4.6,3.2,-5,-1.7,-9.8,-0.1,-7.2,0.5,-7.3,3.6,-2,-4.1,-8.6,-3.4,-0.3,-3,0.6,4.2,-4.8
Yale/Stony Brook,22,14,10.3,3.6,19.3,10.8,8.5,-0.3,-0.4,12.6,0.6,2.8,7.5,-0.5,1.8,0.4,0.7,10.8,3.1,6.6,3.5,1.9,-0.4,0.8,0.4,23.4,3.7,9.4,11,1.4,1.4,1.2,4.9,0.8,0.2,5.4,1,3.6,-5.6,6.9,4.8,2.9,1.2,-1.2,-0.6,1.1,-6.6,5.5
Morgan State/NC A&T,-3,-3.1,-0.4,-2.7,-5.8,-2.2,-3.5,0,-0.2,-3.5,2.7,-2.1,-2.8,-1.2,-0.3,-5.7,-0.6,-1,-1.1,8.4,-0.7,-1.9,-0.4,0.8,0,-4.5,1.6,6.3,-3.5,-3.1,-0.7,-4.9,-2.3,2.4,-1.4,1.9,-5.6,-2.2,3.9,4.2,0.3,2,0.2,2.4,1.7,-6,5.1,0.9
Austin Peay/Morehead State,-5,-2,1.8,-3.8,4.4,5.5,-1.1,-1,0.1,8.2,0,-5.2,-0.2,2.8,-0.4,2.2,0.2,-2,-3,1,0.4,0.8,-1.8,2,0.3,6.2,-3,-4.2,0.2,3.6,-2.2,4.2,1.2,5.3,0.6,0.3,-3.9,1.3,0.5,1.1,4,-4.4,2,0.1,0.4,-4.8,0.4,4.4
Columbia/Long Island,5,15.4,12.4,3.1,14.9,13.3,1.6,-1.2,0.1,6.4,-1,0.7,3.8,-1,-0.6,0.2,0.4,-0.5,-0.5,2.3,-2.9,1.9,1.9,-1.8,-0.4,5.9,-1.5,3,0.9,0.9,1.3,-1.6,-0.6,-0.7,1.5,4.1,6.2,4.1,-7.6,0.2,2.9,6.6,4.3,-1,1.1,6.7,-9.5,2.8
Fairleigh Dickinson/Army,-14,-8.1,-0.8,-7.4,-9.9,-4.7,-5.2,6.1,0,-1.4,-1.2,-1.5,-4,-0.2,0.9,-3.2,-0.8,-15.2,-2.2,-2.6,-3.1,0.2,1.2,-2.2,-0.6,-16.6,-3.4,-4.1,-7.1,0,2.1,-5.4,1.6,5.3,-3.1,-0.2,-4.9,-1.1,5.6,-0.5,-3.8,1.9,3.1,0.7,0.3,-4.3,7.5,-3.2
South Dakota/Western Michigan,4,8.6,5.8,2.8,7.3,6.4,1,4.1,0.4,12.8,1,-3.3,1,2.5,2.8,-1.3,-0.1,-5.2,-4.7,-0.2,2.5,-0.2,1,5,0.6,7.6,-3.7,-3.5,3.5,2.3,3.8,3.7,0.1,0,2.1,2.3,3.5,2.2,0.1,3,-1.4,3.5,-1.2,1.7,0.6,3.1,-0.6,-2.5
Elon/Northern Illinois,27,7.4,8.3,-0.9,10.6,9,1.7,-0.7,-0.3,11.9,4.2,6.8,0.2,-1.3,-0.9,1.2,0.1,-4.2,-3.1,5.2,-5.6,0.2,-2.2,-4.3,-0.8,7.7,1.1,12,-5.4,-1.1,-3.1,-3.1,2.6,9.5,0.2,4.2,0.5,3.8,0,2.1,-0.3,6.2,0.9,2.5,1.5,0.5,-0.1,-0.4
Detroit Mercy/Ball State,11,-7.2,-5.4,-1.8,-3.8,-2.2,-1.5,-1.7,0.1,2.4,3.6,-1.2,1.4,0.2,-0.4,-1.4,0,2.8,1.4,8.2,1,-0.8,-1.4,0,0.1,5.2,5,7,2.4,-0.6,-1.8,-1.4,-4.8,-10.6,3.9,-0.5,-2.8,-1,6.3,4.7,0.4,-5.4,0.5,1.6,0.4,-5.1,6.2,-1
