Team,NetEff,Aura
Duke,42.98,4.3
Houston,40.49,3.9
Auburn,38.32,3.5
Florida,36.11,2.6
Tennessee,32.07,1.7
Alabama,30.21,3
Texas Tech,31.19,2.4
Gonzaga,30.07,0.7
Wisconsin,29.61,1.4
Missouri,28.89,1.7
Iowa State,28.32,1.6
Maryland,29.56,1.4
Arizona,27.65,1.7
Michigan State,28.19,1.8
Illinois,27.36,0.9
Clemson,27.61,1.9
BYU,25.44,1.7
Kansas,25.46,0.6
Texas A&M,25.08,1.2
Purdue,26,0.8
Kentucky,26.83,1.6
UCLA,24.93,0.8
St. John's,25.09,3.1
Saint Mary's,23.94,1.7
Marquette,24.51,1.4
Louisville,23.88,3
VCU,23.36,1.7
Creighton,22.37,1.3
Baylor,22.52,0.4
UC San Diego,21.38,1.9
Ole Miss,22.03,1
Oregon,21.31,0.7
UConn,20.72,0.6
Georgia,20.81,1
Michigan,20.48,0.3
Xavier,21.2,1
Cincinnati,19.14,0.4
Ohio State,18.83,0.5
Mississippi State,20.48,0.7
North Carolina,19.47,0.7
West Virginia,19.71,0.1
Vanderbilt,20.09,1.2
SMU,18.24,0.1
Arkansas,18.68,1
Boise State,19.69,0.9
Texas,18.32,0.6
New Mexico,19.7,0.8
Northwestern,17.13,0.5
Colorado State,18.95,0.9
Indiana,17.07,0.4
Villanova,17.78,0.4
San Diego State,17.55,0.3
Kansas State,14.88,0.7
Santa Clara,16.36,1.2
Oklahoma,16,0.2
Utah State,15.92,0.3
Nebraska,15.47,0.1
USC,12.52,0.1
Penn State,14.4,-0.3
Pittsburgh,14.54,-0.2
Arizona State,13.81,0.2
TCU,13.4,0
Memphis,13.54,2
McNeese,13.67,1.7
Utah,12.22,0.1
Butler,12.4,0.4
Saint Joseph's,12.51,0.7
UCF,11.77,0.4
Wake Forest,10.61,1
South Carolina,12.6,-0.2
North Texas,11.9,0.5
Drake,11.75,2
Liberty,10.89,0.3
LSU,11.68,-0.2
Yale,9.81,1.4
Dayton,10.88,0.6
Nevada,10.56,0.2
Iowa,11.57,-0.3
Rutgers,10.7,0.4
UNLV,10.08,0.5
Georgetown,9.3,-0.1
San Francisco,11.27,1
Stanford,8.41,0.4
Minnesota,9.25,0.4
UC Irvine,8.81,1.5
High Point,9.71,1.4
George Mason,9.79,1.8
Notre Dame,8.49,-0.1
Colorado,8.63,-0.2
Arkansas State,9.25,0.8
Oregon State,8.56,0.3
Providence,7.68,0.1
St. Bonaventure,8.87,-0.2
Northern Iowa,8.94,1.4
Florida State,7.88,0.2
Virginia,7.29,0.4
Grand Canyon,7.41,0.2
Bradley,7.09,1.9
Georgia Tech,7.11,0.9
Oklahoma State,7.34,0.5
Saint Louis,7.61,0.6
UAB,6.79,0.7
CSU Northridge,4.53,0.9
Cornell,7.28,0.3
Lipscomb,8.11,1.1
Akron,7.06,0.9
North Alabama,7.07,1
Washington,4.3,-0.2
Troy,5.48,0.1
